No,S,T,Typology,FAR,Env_R,E_R,total_inh,n_total,lca_total,solar_sc,solar_au
1,2,1,7,0,1,1,994,60.87777772,19.20523319,0.425884474,0.288055824
2,1,1,7,0,1,1,1003,65.52886954,18.98811382,0.649738618,0.342680616
3,4,19,6,1.981873,1,1,2056,55.17134995,16.80075427,0.829112117,0.323037781
4,3,19,6,1.981873,1,1,2452,50.33981358,16.57549433,0.546406443,0.278547756
5,4,18,6,0.815402,1,1,1385,59.25291704,17.69979945,0.614413499,0.369288192
6,1,18,6,0.815402,1,1,1440,61.11390548,17.89779484,0.606651328,0.354886046
7,3,18,6,0.815402,1,1,1611,59.46759994,17.98618045,0.497252166,0.326945181
8,2,18,6,0.815402,1,1,1430,55.98323165,17.90666247,0.40988021,0.304563959
9,4,17,6,1.377649,1,1,1689,56.40491561,17.36674515,0.688340587,0.350796244
10,1,17,6,1.377649,1,1,1728,58.28462974,17.60775558,0.679765694,0.330416748
11,3,17,6,1.377649,1,1,1966,55.70295369,17.53347892,0.552471687,0.312149886
12,4,16,5,2.969017,1,1,2649,50.48082726,15.87838174,0.738313617,0.328025784
13,3,16,5,2.969017,1,1,3091,50.1990985,15.96289418,0.577679208,0.287649327
14,4,15,5,1.471673,1,1,1752,56.74110795,17.1363698,0.686298304,0.354111152
15,1,15,5,1.471673,1,1,1792,54.38403269,17.02136607,0.594002554,0.334423847
16,3,15,5,1.471673,1,1,2081,55.03849678,17.22395851,0.532200945,0.313052256
17,2,15,5,1.471673,1,1,1788,51.64444765,17.12045515,0.453128911,0.297505255
18,4,14,5,1.699608,1,1,1862,55.53695049,17.03034164,0.747541832,0.347413028
19,1,14,5,1.699608,1,1,1901,54.84900234,17.02317481,0.684476207,0.332975805
20,3,14,5,1.699608,1,1,2194,53.59959984,17.0632439,0.555013254,0.304079275
21,4,13,4,3.461759,1,1,2933,50.6483847,16.60946438,0.73373837,0.325529457
22,3,13,4,3.461759,1,1,3320,50.18069991,16.68323963,0.58292269,0.286152153
23,4,12,4,2.200234,1,1,2196,53.53103646,16.53348551,0.647419741,0.358863007
24,3,12,4,2.200234,1,1,2566,52.43809477,16.61478948,0.494762189,0.309945858
25,4,11,4,2.711107,1,1,2462,51.73889336,17.66605969,0.746560346,0.317913143
26,3,11,4,2.711107,1,1,2832,52.90464355,17.90623436,0.661051887,0.28663065
27,4,10,3,3.098888,1,1,2688,49.92954994,15.72870212,0.668057651,0.335755106
28,3,10,3,3.098888,1,1,3106,51.17229317,15.9214659,0.556678311,0.296451936
29,4,9,3,2.406857,1,1,2240,55.89267942,16.40888128,0.723047712,0.339154392
30,3,9,3,2.406857,1,1,2688,54.53963805,16.44356053,0.57759938,0.31052089
31,4,8,3,1.911589,1,1,1994,56.1632771,16.72549135,0.735082749,0.346588672
32,1,8,3,1.911589,1,1,2068,54.29523955,16.62475141,0.651563103,0.332835094
33,3,8,3,1.911589,1,1,2381,54.46816438,16.76582828,0.571278301,0.310091528
34,4,7,2,3.032621,1,1,2588,56.29904662,15.76665201,0.690421088,0.353384166
35,3,7,2,3.032621,1,1,3096,54.04587781,15.73167317,0.508741425,0.315071318
36,4,6,2,2.384204,1,1,2251,55.96959696,16.05808372,0.640723965,0.350525263
37,3,6,2,2.384204,1,1,2615,55.45613126,16.19137822,0.53331082,0.316546144
38,4,5,2,2.783806,1,1,2474,56.81074343,16.20772662,0.696230872,0.342308652
39,3,5,2,2.783806,1,1,2918,55.47362372,16.24228573,0.532335864,0.308668597
40,4,4,1,4.457837,1,1,3308,51.07123238,19.08604234,0.954205666,0.210730769
41,3,4,1,4.457837,1,1,3983,46.84182815,18.82132338,0.799963263,0.225210475
42,4,3,1,5.610568,1,1,4062,48.32339257,16.6142634,0.944296767,0.219374487
43,3,3,1,5.610568,1,1,4767,43.89069646,16.33904825,0.781162193,0.223530952
44,4,2,1,3.531471,1,1,2837,49.24615479,19.00125793,0.92441759,0.251907392
45,3,2,1,3.531471,1,1,3372,48.657964,19.03844643,0.764347082,0.23752278
46,2,1,7,0,2,1,994,54.84765964,15.58164417,0.438193323,0.281886704
47,1,1,7,0,2,1,1003,59.4989738,15.3662161,0.667006554,0.335164838
48,4,19,6,1.981873,2,1,2056,52.37385013,15.07744541,0.84101362,0.314502989
49,3,19,6,1.981873,2,1,2452,47.54171668,14.85278831,0.557250098,0.273970849
